Year,GDP per capita growth (annual %),GDP growth (annual %),GDP (current US$),Population( total),Age dependency ratio - young (% of working-age population),"Population, female", Annual % Change,"Population, male",Exports(Billion US$), Exports(% of GDP),Exports Change,Imports(Billion US$),Imports(% of GDP),Imports Change
1960,,,672399700,3298021,98.55816058,1641764,3.38,1656257,0.1721,25.5949,,0.1265,18.8132,
1961,-5.477191878,-2.31324875,654100200,3408415,99.7518703,1697727,3.35,1710688,0.1521,23.2533,-7.0441,0.1069,16.3431,-12.0482
1962,13.29934411,17.04724093,824100000,3521164,100.6107858,1754868,3.31,1766296,0.1967,23.8685,12.1339,0.1993,24.184,90.0685
1963,3.144945525,6.502902634,940799900,3635798,101.0839207,1812924,3.26,1822874,0.195,20.727,-12.1061,0.2444,25.9779,19.0541
1964,3.449654403,6.764865116,1025599900,3752313,101.368478,1871918,3.2,1880395,0.202,19.6958,1.6038,0.2875,28.0324,15.2856
1965,-15.115017,-12.48183392,888100000,3868712,101.5987022,1931763,3.1,1936949,0.1448,16.3045,-18.1058,0.18,20.268,-38.464
1966,10.09458119,13.46334483,983900000,3987090,101.5517401,1992582,3.06,1994508,0.1608,16.3431,9.1009,0.2493,25.3379,36.0694
1967,0.263965138,3.327542287,1034800000,4108916,101.0950639,2054205,3.06,2054711,0.1871,18.0808,11.8455,0.2588,25.0097,-0.2133
1968,-2.650666123,0.238860485,1079100000,4230877,100.267503,2115894,2.97,2114983,0.1995,18.4876,3.6925,0.2875,26.6426,8.0318
1969,7.781535863,10.89144583,1230500000,4352954,99.13084825,2177646,2.89,2175308,0.2274,18.4803,11.6352,0.3213,26.1113,9.4527
1970,14.97992506,18.22668288,1485500000,4475871,97.84613695,2239914,2.82,2235957,0.266692194,17.953,11.2229,0.41489519,27.9297,12.3708
1971,7.883376774,10.87146607,1666500000,4599841,96.41502836,2302792,2.77,2297049,0.300134133,18.0098,15.1582,0.46171544,27.7057,-7.1095
1972,7.474495133,10.39416408,1987400000,4724801,94.8108286,2366137,2.72,2358664,0.422847716,21.2764,31.2837,0.48975956,24.6432,5.3373
1973,9.954627015,12.89576373,2344800000,4851183,93.10933215,2430153,2.67,2421030,0.529005317,22.5608,12.1565,0.6324904,26.9742,13.5815
1974,3.289376239,6.001902903,2925700000,4978582,91.29263079,2494654,2.63,2483928,0.749535909,25.619,-5.5907,1.023192,34.9726,19.8556
1975,2.559102705,5.193253357,3599200000,5106453,89.36611065,2559369,2.57,2547084,1.039406497,28.8788,3.2677,1.16020595,32.2351,2.1669
1976,4.101057863,6.728122642,3951500000,5235318,87.40853311,2624554,2.52,2610764,0.880982316,22.2949,28.3039,1.15287921,29.1757,-3.9041
1977,2.442766529,4.981783951,4587100000,5365074,85.46781079,2690159,2.48,2674915,0.966710293,21.0745,-0.8744,1.29711492,28.2775,5.506
1978,-0.282410044,2.140684677,4734400000,5495443,83.55687976,2756024,2.43,2739419,0.88280947,18.6467,0.4588,1.395042,29.4661,-2.5386
